rental_id,rental_date,inventory_id,customer_id,return_date,last_update,customer_name,telephone,email
1,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
2,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
3,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
4,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
5,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
6,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
7,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
8,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
9,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
10,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
11,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
12,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
13,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
14,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
15,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
16,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
17,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
18,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
19,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
20,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
21,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
22,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
23,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
24,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
25,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
26,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
27,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
28,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
29,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
30,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
31,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
32,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
33,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
34,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
35,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
36,2001-01-01 00:00:00,0,0,2001-01-01 00:00:00,2006-02-15 21:30:53,Unknown,+34000000000,unknown@unknown.com
